Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State
,Domain Y3 and Y4 Retail Buildings and Garage,30955,3120 PALM WAY,78758,0,0,1,0,0,3-star,,Retail,Domain (PDA),No,Commercial,Commercial Rating 2010,2017,,POINT (-97.721449983 30.403203014),1,,10/01/2016,09/30/2017,Austin,TX
,LCRA Redbud Center,35400,3601 LAKE AUSTIN BLVD,78703,0,0,0,1,0,4-star,Gold,Office,,Yes,Commercial,Commercial Rating 2006,2008,,POINT (-97.784361028 30.292890002),1,,10/01/2007,09/30/2008,Austin,TX
,Domain Tower 2,319295,10025 ALTERRA PKWY,78758,1,0,0,0,0,1-star,,Office,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.722115003 30.394621999),2,0,10/01/2021,09/30/2022,Austin,TX
,Children's Place at Mueller,4100,1201 BARBARA JORDAN BLVD 3 UNIT 620,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2010,,POINT (-97.70985999 30.30557002),1,,10/01/2009,09/30/2010,Austin,TX
,Holiday Inn Express Arboretum,63350,10711 RESEARCH BLVD,78759,1,0,0,0,0,1-star,,Hotel,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2018,,POINT (-97.743868976 30.398162012),4,,10/01/2017,09/30/2018,Austin,TX
,Legacy on the Lake,291195,43 RAINEY ST,78701,1,0,0,0,0,1-star,Certified,Residential,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.739448025 30.256106984),31,187,10/01/2008,09/30/2009,Austin,TX
,Meadowbrook Education & Training Center,10150,1201 W LIVE OAK ST,78704,0,0,0,1,0,4-star,Silver,Office/ School,,Yes,Commercial,Commercial Rating 2010,2015,,POINT (-97.766464994 30.247045015),1,,10/01/2014,09/30/2015,Austin,TX
,Clive Bar,10300,609 DAVIS ST,78701,1,0,0,0,0,1-star,,Other,"Downtown (CBD-DMU), Rainey Street (CBD)",No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.738559962 30.260029002),15,0,10/01/2021,09/30/2022,Austin,TX
,Seaholm Retail and Office Building,67135,211 WALTER SEAHOLM DR,78701,0,0,0,1,0,4-star,Gold,Office/ Retail/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2016,,POINT (-97.752713979 30.267510018),2,,10/01/2015,09/30/2016,Austin,TX
,405 Colorado,272857,405 COLORADO ST,78701,0,1,0,0,0,2-star,,Office/ Retail/ Restaurant,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2013,2021,,POINT (-97.744385972 30.266721994),25,,10/01/2020,09/30/2021,Austin,TX
,The Block on Rio,88000,2819 RIO GRANDE ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.743586003 30.295073991),6,97,10/01/2008,09/30/2009,Austin,TX
,Church of Scientology - Austin,51645,2200 GUADALUPE ST,78705,1,0,0,0,0,1-star,,Office/ Retail/ Worship/ School,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2013,2020,,POINT (-97.742156972 30.285277013),3,0,10/01/2019,09/30/2020,Austin,TX
,Comedor,4686,501 COLORADO ST,78701,1,0,0,0,0,1-star,,Restaurant,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2019,,POINT (-97.743940976 30.267947009),1,,10/01/2018,09/30/2019,Austin,TX
,ABIA Terminal East Infill Expansion,72703,3600 PRESIDENTIAL BLVD,78719,0,0,0,0,0,,Silver,Other,,Yes,Commercial,LEED BD+C: New Construction v3 - LEED 2009,2018,,POINT (-97.667525009 30.20215699),3,,10/01/2017,09/30/2018,Austin,TX
,City of Austin Del Valle Fire and EMS Station,18580,7019 Elroy Road,78617,0,0,0,1,0,4-star,,Other,City of Austin,No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.642598989 30.159157994),1,0,10/01/2020,09/30/2021,Del Valle,TX
,Sovereign Bank,9854,600 W 5TH ST,78701,1,0,0,0,0,1-star,,Office/Bank,,Yes,Commercial,Pilot Commercial Rating,2006,,POINT (-97.748901973 30.269048014),2,,10/01/2005,09/30/2006,Austin,TX
,Shoe Pavilion at Mueller,19850,1201 BARBARA JORDAN BLVD 1,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.709006964 30.306354021),1,,10/01/2006,09/30/2007,Austin,TX
,Capitol Tower Garage,170000,206 E 9TH ST,78701,1,0,0,0,0,1-star,,Office,,Yes,Commercial,Commercial Rating 2006,2013,,POINT (-97.739730998 30.270600007),20,,10/01/2012,09/30/2013,Austin,TX
,Bear Creek Elementary School,86177,12801 ESCARPMENT BLVD,78739,0,0,1,0,0,3-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.909627984 30.170638017),3,,10/01/2021,09/30/2022,Austin,TX
,Banger's Expansion,4125,81 1/2 RAINEY ST,78701,1,0,0,0,0,1-star,,Restaurant,"Downtown (CBD-DMU), Rainey Street (CBD)",No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.738377991 30.259226016),2,,10/01/2018,09/30/2019,Austin,TX
,The Home Depot at Mueller,108625,1200 BARBARA JORDAN BLVD,78723,0,0,0,1,0,4-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.70983803 30.307796002),1,,10/01/2007,09/30/2008,Austin,TX
,The Mark at Austin,456413,812 W 23RD ST,78705,1,0,0,0,0,1-star,,Residential/ Retail,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.746133012 30.28767101),17,265,10/01/2022,09/30/2023,Austin,TX
,PromiseLand Church West Multipurpose Building,60015,8901 W SH 71,78735,1,0,0,0,0,1-star,,Office/ Worship/ Other,,Yes,Commercial,Commercial Rating 2010,2014,,POINT (-97.90368203 30.249583013),2,,10/01/2013,09/30/2014,Austin,TX
,44 East Ave,479209,44 EAST AVE,78701,0,0,1,0,0,3-star,,Residential/ Retail,"Downtown (CBD-DMU), Rainey Street (CBD), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.739120041 30.255802008),50,322,10/01/2022,09/30/2023,Austin,TX
,600 West Fifth,154800,600 W 5TH ST,78701,1,0,0,0,0,1-star,,Office,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2024,,POINT (-97.748901973 30.269048014),17,0,10/01/2023,09/30/2024,Austin,TX
,Westin Austin,269669,310 E 5TH ST,78701,1,0,0,0,0,1-star,,Office/ Restaurant/ Hotel/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2018,,POINT (-97.740326029 30.266633984),19,,10/01/2017,09/30/2018,Austin,TX
,"LCRA Dalchau Service Center, Building A",98520,3505 MONTOPOLIS DR,78744,0,0,1,0,0,3-star,,Office,,Yes,Commercial,Pilot Commercial Rating,2004,,POINT (-97.709840041 30.209182995),3,,10/01/2003,09/30/2004,Austin,TX
,"Austin Children's Shelter, Program Services Building",7900,sensitive location,78723,0,0,1,0,0,3-star,,Office,Mueller Development (PUD),No,Commercial,Commercial Rating 2007,2011,,POINT (-97.6999965 30.2935393),1,,10/01/2010,09/30/2011,Austin,TX
,Whole Foods Market at Arbor Trails,39830,4301 W WILLIAM CANNON DR B1,78749,0,0,0,1,0,4-star,,Office/ Grocery,,Yes,Commercial,Commercial Rating 2010,2013,,POINT (-97.843050024 30.21879402),1,,10/01/2012,09/30/2013,Austin,TX
,Palmer Events Center and Parking Garage,133200,900 BARTON SPRINGS RD,78704,0,1,0,0,0,2-star,,Event Space,,Yes,Commercial,Pilot Commercial Rating,2006,,POINT (-97.753846039 30.26144898),2,,10/01/2005,09/30/2006,Austin,TX
,The Block on 23rd,90774,2222 PEARL ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.746713039 30.287025017),6,94,10/01/2008,09/30/2009,Austin,TX
,800 Congress,7605,800 CONGRESS AVE,78701,1,0,0,0,0,1-star,,Office/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2013,2016,,POINT (-97.742501971 30.270228018),1,,10/01/2015,09/30/2016,Austin,TX
,Archer Hotel Austin at the Domain,191250,3121 PALM WAY,78758,0,1,0,0,0,2-star,,Retail/ Restaurant/ Hotel,Domain (PDA),No,Commercial,Commercial Rating 2010,2017,,POINT (-97.72158401 30.40229999),8,,10/01/2016,09/30/2017,Austin,TX
,The Rise School of Austin Preschool,23450,4800 MANOR RD,78723,0,0,0,1,0,4-star,,School,Mueller Development (PUD),No,Commercial,Commercial Rating 2010,2015,,POINT (-97.689950959 30.296338988),2,,10/01/2014,09/30/2015,Austin,TX
,AUS Career and Development Center,21300,2800 SPIRIT OF TEXAS DR,78719,0,0,1,0,0,3-star,,Office,,Yes,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.667243042 30.21244498),1,0,10/01/2020,09/30/2021,Austin,TX
,The Shore,246920,603 DAVIS ST,78701,1,0,0,0,0,1-star,,Residential/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.73916304 30.260243998),23,192,10/01/2007,09/30/2008,Austin,TX
,Spring,356000,300 BOWIE ST,78703,1,0,0,0,0,1-star,,Residential,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.75418098 30.268949987),42,261,10/01/2008,09/30/2009,Austin,TX
,ABIA Terminal Expansion & Improvements,185825,3600 PRESIDENTIAL BLVD,78719,0,0,0,0,0,,Gold,Retail,City of Austin,No,Commercial,LEED BD+C: New Construction v3 - LEED 2009,2020,,POINT (-97.667525009 30.20215699),1,,10/01/2019,09/30/2020,Austin,TX
,70 Rainey Street,323435,70 RAINEY ST,78701,0,0,0,1,0,4-star,,Residential/ Retail/ Other,"Downtown (CBD-DMU), Rainey Street (CBD), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2013,2020,,POINT (-97.739149964 30.258539999),30,197,10/01/2019,09/30/2020,Austin,TX
,Travis County District Attorney Office Building,133500,416 W 11TH ST,78701,0,0,1,0,0,3-star,,Office,"Downtown (CBD-DMU), Downtown CURE (CBD-CURE)",No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.745176972 30.274224007),6,,10/01/2017,09/30/2018,Austin,TX
,3700 San Clemente,262550,3700 N CAPITAL OF TEXAS HWY SB UNIT E,78746,1,0,0,0,0,1-star,,Office,,Yes,Commercial,Commercial Rating 2010,2016,,POINT (-97.801962168 30.243463883),5,,10/01/2015,09/30/2016,Austin,TX
,Domain Place,42485,3200 GRACIE KILTZ LN,78758,1,0,0,0,0,1-star,,Office,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2016,2020,,POINT (-97.725133997 30.39534301),5,,10/01/2019,09/30/2020,Austin,TX
,Four Seasons Residences,522627,98 SAN JACINTO BLVD,78701,1,0,0,0,0,1-star,,Residential,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2007,2012,,POINT (-97.742704981 30.262331008),32,166,10/01/2011,09/30/2012,Austin,TX
,Bowie High School - Fine Arts Building,123456,4103 W SLAUGHTER LN,78759,0,0,1,0,0,3-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.859346037 30.186825986),1,,10/01/2022,09/30/2023,Austin,TX
,Central Texas Allergy Associates,3994,4150 N LAMAR BLVD,78756,0,0,0,0,0,pilot,,Health Care,,Yes,Commercial,Pilot Commercial Rating,2001,,POINT (-97.740499032 30.309814993),1,,10/01/2000,09/30/2001,Austin,TX
,Cirrus Logic - Phase I,136080,800 W 6TH ST,78703,1,0,0,0,0,1-star,,Office/ Restaurant,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2009,2014,,POINT (-97.750691007 30.270920992),8,,10/01/2013,09/30/2014,Austin,TX
,Austin City College - Rio Grande,140000,1212 RIO GRANDE ST,78701,0,0,0,1,0,4-star,,School,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.747722975 30.276535987),2,0,10/01/2021,09/30/2022,Austin,TX
,City of Austin Fire Station #25 - Women's Locker Room Addition,180,5228 DUVAL RD,78727,0,0,0,0,0,pilot,,Municipal,,Yes,Commercial,Pilot Commercial Rating,2007,,POINT (-97.742767007 30.418309006),1,,10/01/2006,09/30/2007,Austin,TX
,Foundation Communities' Prosper Center-South,9300,2900 S IH 35 SVRD SB,78704,0,1,0,0,0,2-star,,Retail,,Yes,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.745735961 30.227864999),1,0,10/01/2020,09/30/2021,Austin,TX
,AISD Uphaus Early Childhood Center,72205,5200 FREIDRICH LN,78744,0,1,0,0,0,2-star,,School,,Yes,Commercial,Commercial Rating 2009,2013,,POINT (-97.755979988 30.201678006),1,,10/01/2012,09/30/2013,Austin,TX
,AISD Langford Elementary School Addition,12000,2206 BLUE MEADOW DR,78744,0,0,0,1,0,4-star,,School,,Yes,Commercial,Commercial Rating 2009,2011,,POINT (-97.763310968 30.182077009),1,,10/01/2010,09/30/2011,Austin,TX
,Sanchez Elementary School,80674,73 SAN MARCOS ST,78702,0,0,1,0,0,3-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.734830015 30.25756401),2,,10/01/2022,09/30/2023,Austin,TX
,Aloft Austin at the Domain,85602,11601 DOMAIN DR,78758,0,1,0,0,0,2-star,,Hotel,Domain (PDA),No,Commercial,Commercial Rating 2007,2010,,POINT (-97.723732962 30.402770005),6,,10/01/2009,09/30/2010,Austin,TX
,Autograph AC Collection Hotels,200673,1901 SAN ANTONIO ST,78701,1,0,0,0,0,1-star,,Hotel,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2016,2020,,POINT (-97.743041011 30.282239998),11,0,10/01/2019,09/30/2020,Austin,TX
,Arbor Town Square Building B,24761,10721 RESEARCH BLVD SVRD NB,78759,1,0,0,0,0,1-star,,Office/ Retail/ Restaurant,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2017,,POINT (-97.744744968 30.398848993),2,,10/01/2016,09/30/2017,Austin,TX
,AISD Anderson High School,20250,8403 MESA DR,78759,0,1,0,0,0,2-star,,School,,Yes,Commercial,Commercial Rating 2009,2010,,POINT (-97.752414997 30.374928005),1,,10/01/2009,09/30/2010,Austin,TX
,Domain 5 Office Building,76480,11305 ALTERRA PKWY,78758,0,0,0,0,0,,Silver,Office,Domain (PDA),No,Commercial,LEED BD+C: Core and Shell v3 - LEED 2009,2016,,POINT (-97.72023796 30.398132005),3,,10/01/2015,09/30/2016,Austin,TX
,Menchaca ES,98603,12120 MANCHACA RD,78748,0,1,0,0,0,2-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2020,,POINT (-97.834194041 30.141744004),2,,10/01/2019,09/30/2020,Austin,TX
,Tower of the Hills,211322,13809 RESEARCH BLVD,78750,0,1,0,0,0,2-star,,Office,,Yes,Commercial,Commercial Rating 2006,2009,,POINT (-97.79476501 30.464535314),4,,10/01/2008,09/30/2009,Austin,TX
,H-E-B at Mueller,83600,1801 E 51ST ST F,78723,0,0,0,1,0,4-star,Gold,Grocery,Mueller Development (PUD),No,Commercial,Commercial Rating 2010,2015,,POINT (-97.69830604 30.302518001),1,,10/01/2014,09/30/2015,Austin,TX
,Encino Trace - Phase 1,163350,5707 SOUTHWEST PKWY,78735,0,0,1,0,0,3-star,,Office,Encino Trace Development,No,Commercial,Commercial Rating 2010,2015,,POINT (-97.84453798 30.244095004),4,,10/01/2014,09/30/2015,Austin,TX
,Bodega on Rio,2574,2101 RIO GRANDE ST,78705,1,0,0,0,0,1-star,,Retail,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.744741029 30.28428799),1,,10/01/2008,09/30/2009,Austin,TX
,Casis Elementary School,95100,2710 EXPOSITION BLVD,78703,0,0,1,0,0,3-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.765951016 30.304544997),2,,10/01/2021,09/30/2022,Austin,TX
,The Thinkery - Austin Children's Museum at Mueller,36300,1830 SIMOND AVE,78723,0,0,0,0,0,,Silver,Other,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.2,2014,,POINT (-97.704899999 30.297561991),3,,10/01/2013,09/30/2014,Austin,TX
,Tivoli New Office,217222,2309 GRACY FARMS LN,78758,0,0,0,1,0,4-star,Certified,Office,,Yes,Commercial,LEED BD+C: New Construction v2 – LEED 2.0,2002,,POINT (-97.711489013 30.400062986),6,,10/01/2001,09/30/2002,Austin,TX
,AISD Barrington Elementary School Addition,12206,400 COOPER DR,78753,0,0,0,1,0,4-star,,School,,Yes,Commercial,Commercial Rating 2009,2011,,POINT (-97.695770011 30.360724996),1,,10/01/2010,09/30/2011,Austin,TX
,AISD Norman Elementary School Addition,15192,4001 TANNEHILL LN,78721,0,0,1,0,0,3-star,,School,,Yes,Commercial,AISD Rating 2006,2007,,POINT (-97.674046968 30.278334995),1,,10/01/2006,09/30/2007,Austin,TX
,Murchison Middle School Addition and Renovation,79996,3700 NORTH HILLS DR,78731,0,0,1,0,0,3-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.75860302 30.354128983),30,240,10/01/2021,09/30/2022,Austin,TX
,AISD Timy Baranoff Elementary School Addition,12000,12009 BUCKINGHAM GATE RD,78748,0,0,1,0,0,3-star,,School,,Yes,Commercial,AISD Rating 2006,2011,,POINT (-97.851911959 30.153510016),1,,10/01/2010,09/30/2011,Austin,TX
,Family Christian Stores at Mueller,4415,1201 BARBARA JORDAN BLVD UNIT 600,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.70985999 30.30557002),1,,10/01/2008,09/30/2009,Austin,TX
,AISD Akins High School Addition #2,15553,10701 S 1ST ST,78748,0,0,0,1,0,4-star,,School,,Yes,Commercial,Commercial Rating 2009,2011,,POINT (-97.800974966 30.148788993),1,,10/01/2010,09/30/2011,Austin,TX
,Maravilla at The Domain,285024,11001 Austin Ln,78758,0,0,0,0,0,,Silver,Other,Domain (PDA),No,Commercial,LEED BD+C: New Construction v3 - LEED 2009,2021,,POINT (-97.72480199 30.39584802),11,232,10/01/2020,09/30/2021,Austin,TX
,John Gaines Park and Amenities Center,3675,2708 SORIN ST,78723,0,0,0,1,0,4-star,,Other,Mueller Development (PUD),No,Commercial,Commercial Rating 2013,2017,,POINT (-97.696573853 30.292948309),1,,10/01/2016,09/30/2017,Austin,TX
,Famous Footwear at Mueller,6495,1201 BARBARA JORDAN BLVD 4 UNIT 450,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2010,,POINT (-97.70985999 30.30557002),1,,10/01/2009,09/30/2010,Austin,TX
,Lupe Tortilla Mexican Restaurant,6614,10515 N MOPAC EXPY VRD NB A UNIT 165,78759,1,0,0,0,0,1-star,,Restaurant,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2017,,POINT (-97.732443017 30.389556983),1,,10/01/2016,09/30/2017,Austin,TX
,Robert E. Johnson State Office Building,320000,1501 CONGRESS AVE,78701,0,0,1,0,0,3-star,,Office,,Yes,Commercial,Pilot Commercial Rating,2000,,POINT (-97.738633974 30.277215005),6,,10/01/1999,09/30/2000,Austin,TX
,9Red - Indigo and Holiday Inn Express Hotel,174448,805 NECHES ST,78701,1,0,0,0,0,1-star,,Hotel,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2018,,POINT (-97.736672022 30.269171982),10,,10/01/2017,09/30/2018,Austin,TX
,Texas Association of Counties,43222,1204 SAN ANTONIO ST,78701,0,1,0,0,0,2-star,,Office,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.745365984 30.275712004),4,0,10/01/2020,09/30/2021,Austin,TX
,St. David's North Austin Medical Center,90650,12221 N MOPAC EXPY SVRD NB,78758,0,1,0,0,0,2-star,,Health Care,North Austin Medical Center,No,Commercial,Commercial Rating 2010,2015,,POINT (-97.707943084 30.412279184),2,,10/01/2014,09/30/2015,Austin,TX
,Ruckus 2.0,106077,620 W 24TH ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2016,2019,,POINT (-97.744348002 30.288183983),7,67,10/01/2018,09/30/2019,Austin,TX
,Capitol Quarters,42744,1108 NUECES ST,78701,0,0,0,1,0,4-star,,Residential/ Retail,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.746709016 30.275067981),4,146,10/01/2021,09/30/2022,Austin,TX
,Shoal Creek Walk,230665,835 W 6TH ST,78703,0,1,0,0,0,2-star,,Office/ Retail,"Downtown (CBD-DMU), Downtown CURE (CBD-CURE)",No,Commercial,Commercial Rating 2010,2019,,POINT (-97.752409967 30.270535005),15,,10/01/2018,09/30/2019,Austin,TX
,Hanover Republic Square,454078,303 W 5TH ST,78701,0,1,0,0,0,2-star,,Residential/ Restaurant,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.745992028 30.267629),46,310,10/01/2022,09/30/2023,Austin,TX
,Texas Children's Hospital North Campus,535000,9835 N LAKE CREEK PKWY,78717,0,0,1,0,0,3-star,,Health Care,Leander Rehabilitation (PUD),No,Commercial,COMMERCIAL RATING 2016,2024,,POINT (-97.790085114 30.473909984),5,,10/01/2023,09/30/2024,Austin,TX
,Michael & Susan Dell Foundation,30567,4417 WESTLAKE DR C,78746,0,0,0,1,0,4-star,,Office,Davenport (PUD),No,Commercial,COMMERCIAL RATING 2016,2024,,POINT (-97.810719012 30.335267983),2,0,10/01/2023,09/30/2024,Austin,TX
,EMS Station #33 at Mueller,6045,4518 JAMES WHEAT ST,78723,0,0,0,0,0,,Silver,Other,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.2,2013,,POINT (-97.708572282 30.300063961),2,,10/01/2012,09/30/2013,Austin,TX
,Austin City Hall,115000,301 W 2ND ST,78701,0,0,0,0,0,,Gold,Office/Assembly,,Yes,Commercial,LEED BD+C: New Construction v2 – LEED 2.1,2006,,POINT (-97.747268005 30.264816997),4,,10/01/2005,09/30/2006,Austin,TX
,Best Buy at Mueller,29400,1201 BARBARA JORDAN BLVD 1,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.709006964 30.306354021),1,,10/01/2006,09/30/2007,Austin,TX
,Quarters Garage and Retail,73049,2222 RIO GRANDE ST,78705,1,0,0,0,0,1-star,,Residential/ Office/ Retail/ Other,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2012,,POINT (-97.745506967 30.286559989),5,12,10/01/2011,09/30/2012,Austin,TX
,The Corner on San Gabriel,109455,2504 SAN GABRIEL ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.747783995 30.290131015),8,62,10/01/2017,09/30/2018,Austin,TX
,AISD LBJ Early College High School Theater Addition,10093,7309 LAZY CREEK DR,78724,0,0,0,1,0,4-star,,School,,Yes,Commercial,AISD Rating 2006,2007,,POINT (-97.65659199 30.313347001),1,,10/01/2006,09/30/2007,Austin,TX
,Soundcheck at Mueller,28985,1901 E 51ST ST,78723,0,0,1,0,0,3-star,,Office/ Other,Mueller Development (PUD),No,Commercial,Commercial Rating 2009,2013,,POINT (-97.696753963 30.301090018),1,,10/01/2012,09/30/2013,Austin,TX
,Fairmont Austin Hotel,1235825,101 RED RIVER ST,78701,0,1,0,0,0,2-star,,Hotel,"Downtown (CBD-DMU), Downtown CURE (CBD-CURE)",No,Commercial,Commercial Rating 2010,2018,,POINT (-97.738207 30.262126993),37,,10/01/2017,09/30/2018,Austin,TX
,360 Residential Condominiums,556201,360 NUECES ST,78701,1,0,0,0,0,1-star,,Residential/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.749713006 30.267381021),44,430,10/01/2007,09/30/2008,Austin,TX
,Satellite Dialysis at Mueller,15100,1801 E 51ST ST G,78723,0,0,0,1,0,4-star,,Office/ Health Care,Mueller Development (PUD),No,Commercial,Commercial Rating 2010,2014,,POINT (-97.69830604 30.302518001),1,,10/01/2013,09/30/2014,Austin,TX
,Mueller Diamond,56404,1905 ALDRICH ST,78723,0,0,0,1,0,4-star,Gold,Office/ Retail/ Restaurant,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.705266037 30.297886999),3,,10/01/2018,09/30/2019,Austin,TX
,LCRA Tensco Phase I,8970,3505 MONTOPOLIS DR,78744,0,1,0,0,0,2-star,,Office/Warehouse,,Yes,Commercial,Pilot Commercial Rating,2003,,POINT (-97.709840041 30.209182995),1,,10/01/2002,09/30/2003,Austin,TX
,Firestone Complete Auto Care,7654,10515 N MOPAC EXPY SVRD NB P,78759,1,0,0,0,0,1-star,,Retail,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2012,,POINT (-97.732443017 30.389556983),1,,10/01/2011,09/30/2012,Austin,TX
,AUS Consolidated Maintenance Facility,112688,10100 GOLF COURSE RD,78719,0,0,0,0,0,,Silver,Office/ Warehouse/ Other,,Yes,Commercial,LEED BD+C: New Construction v3 - LEED 2009,2022,,POINT (-97.652739264 30.206619334),4,,10/01/2021,09/30/2022,Austin,TX
,Austin Energy System Control Center,192200,2500 MONTOPOLIS DR,78741,0,0,0,1,0,4-star,Gold,Office,,Yes,Commercial,Commercial Rating 2009,2014,,POINT (-97.708727009 30.219931989),3,,10/01/2013,09/30/2014,Austin,TX
,Dell Jewish Community Center,37805,7300 HART LN,78731,0,1,0,0,0,2-star,,Office/ Other,Dell Jewish Community Center (PUD),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.757154963 30.35742701),2,,10/01/2022,09/30/2023,Austin,TX
,Temple Beth Shalom,22085,7300 HART LN,78731,0,1,0,0,0,2-star,,Office/ Worship,Dell Jewish Community Center (PUD),No,Commercial,Commercial Rating 2010,2014,,POINT (-97.757154963 30.35742701),2,,10/01/2013,09/30/2014,Austin,TX
,The Stay Put,3109,73 RAINEY ST,78701,1,0,0,0,0,1-star,,Other,Rainey Street (CBD),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.738680997 30.258291015),1,,10/01/2022,09/30/2023,Austin,TX
,Velocity Credit Union Braker Lane Branch,3949,1201 W BRAKER LN,78758,0,1,0,0,0,2-star,,Office/Bank,,Yes,Commercial,Pilot Commercial Rating,2004,,POINT (-97.693618041 30.384514011),1,,10/01/2003,09/30/2004,Austin,TX
,AISD Overton Elementary School,80445,7201 COLONY LOOP DR,78724,0,0,1,0,0,3-star,,School,,Yes,Commercial,AISD Rating 2006,2007,,POINT (-97.635997989 30.300327013),1,,10/01/2006,09/30/2007,Austin,TX
