Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State
,Austin Junior Volleyball Headquarters,13664,425 WOODWARD ST,78704,1,0,0,0,0,1-star,,Event Center,,Yes,Commercial,Pilot Commercial Rating,2003,,POINT (-97.755856019 30.226977021),2,,10/01/2002,09/30/2003,Austin,TX
,Hilton Garden Inn (17th and Lavaca Hotel),133977,301 W 17TH ST,78701,0,1,0,0,0,2-star,,Hotel,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.741412994 30.279377997),3,,10/01/2021,09/30/2022,Austin,TX
,Austin Music Hall,43000,208 NUECES ST,78701,1,0,0,0,0,1-star,,Restaurant/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2006,2011,,POINT (-97.750022969 30.26670502),2,,10/01/2010,09/30/2011,Austin,TX
,Domain 10,293229,11815 ALTERRA PKWY,78758,0,0,0,0,0,,Gold,Office,Domain (PDA),No,Commercial,LEED BD+C: Core and Shell v3 - LEED 2009,2020,,POINT (-97.718629976 30.403614985),15,,10/01/2019,09/30/2020,Austin,TX
,Indian Hills Phase 1,50000,6201 QUINN LUKE TRL,78724,0,1,0,0,0,2-star,,Office,Indian Hills,No,Commercial,COMMERCIAL RATING 2013,2021,,POINT (-97.63515 30.2882753),1,0,10/01/2020,09/30/2021,Austin,TX
,St. Stephen's Episcopal School - Middle School,11646,6500 ST STEPHENS DR,78746,0,0,1,0,0,3-star,,School,,Yes,Commercial,Pilot Commercial Rating,2006,,POINT (-97.816473021 30.329340007),1,,10/01/2005,09/30/2006,Austin,TX
,Austin Marriot Downtown,588800,304 E CESAR CHAVEZ ST,78701,0,0,1,0,0,3-star,,Hotel,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2020,,POINT (-97.741575017 30.262835012),30,0,10/01/2019,09/30/2020,Austin,TX
,AISD T. A. Brown Elementary School,7000,505 W ANDERSON LN,78752,0,0,1,0,0,3-star,,School,,Yes,Commercial,Commercial Rating 2009,2012,,POINT (-97.70936001 30.344816018),1,,10/01/2011,09/30/2012,Austin,TX
,300 West Sixth Street,483917,300 W 6TH ST,78701,0,0,1,0,0,3-star,,Office,,Yes,Commercial,Pilot Commercial Rating,2002,,POINT (-97.745612998 30.269336016),23,,10/01/2001,09/30/2002,Austin,TX
,26 West,498984,600 W 26TH ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.74360503 30.291398987),7,366,10/01/2007,09/30/2008,Austin,TX
