Organization,Project (sq.ft.),Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2019,,POINT (-97.760218968 30.152916997),,1,10/1/18,9/30/19,Austin,TX,
Avi Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.755033 30.15239099),,1,10/1/19,9/30/20,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.701447996 30.297718984),,1,10/1/13,9/30/14,Austin,TX,
Main Street Homes,,78702,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.761064031 30.210378002),,1,10/1/05,9/30/06,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.69370404 30.199827994),,1,10/1/06,9/30/07,Austin,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2017,,POINT (-97.790364231 30.481193145),,1,10/1/16,9/30/17,Austin,TX,
Perry Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.719820038 30.14899502),,1,10/1/19,9/30/20,Austin,TX,
The Muskin Company,,78723,0,0,0,0,1,5-star,,Residential,,,Single Family,2016,2021,,POINT (-97.696030018 30.298303999),,1,10/1/20,9/30/21,Austin,TX,
Clark Wilson Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2001,,POINT (-97.781679992 30.138908993),,1,10/1/00,9/30/01,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2015,,POINT (-97.621075016 30.346913003),,1,10/1/14,9/30/15,Austin,TX,
Lars Stanley,,78723,0,0,0,0,1,5-star,,Residential,,,Single Family,8,2011,,POINT (-97.696020965 30.284086992),,1,10/1/10,9/30/11,Austin,TX,
Wes Peoples Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.829080996 30.193253984),,1,10/1/16,9/30/17,Austin,TX,
Kelly Grossman Architects,,,,,,,,,,,,,,,,,,,,,,,,
Reytex Homes,,,,,,,,,,,,,,,,,,,,,,,,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2014,,POINT (-97.701519997 30.30066099),,1,10/1/13,9/30/14,Austin,TX,
Hammonds Homes,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.775395996 30.242137998),,1,10/1/01,9/30/02,Austin,TX,
Austin Habitat for Humanity,,78702,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.707898038 30.277337004),,1,10/1/01,9/30/02,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2016,,POINT (-97.697733975 30.201192987),,1,10/1/15,9/30/16,Austin,TX,
David Weekley Homes,,78730,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2007,,POINT (-97.858113981 30.359586985),,1,10/1/06,9/30/07,Austin,TX,
Newmark Homes,,78727,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.659648032 30.372695988),,1,10/1/01,9/30/02,Austin,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.731454036 30.222331979),,1,10/1/03,9/30/04,Austin,TX,
Lakeline Square Partners,,78729,0,0,0,0,1,5-star,,Residential,,,Single Family,8.1,2011,,POINT (-97.783661223 30.469590118),,1,10/1/10,9/30/11,Austin,TX,
Newmark Homes,,78728,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.675211969 30.437870985),,1,10/1/98,9/30/99,Austin,TX,
Shiloh Travis Homes,,78702,0,0,0,0,0,4-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.679939027 30.305086007),,1,10/1/09,9/30/10,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
Clark Wilson Homes,,78735,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1998,,POINT (-97.836612974 30.254891985),,1,10/1/97,9/30/98,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2018,,POINT (-97.643499038 30.355271981),,1,10/1/17,9/30/18,Austin,TX,
Newmark Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.686160997 30.425497997),,1,10/1/98,9/30/99,Austin,TX,
Trinity Company,,78745,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.794517329 30.220079646),,1,10/1/99,9/30/00,Austin,TX,
Lakeline Square Partners,,78729,0,0,0,0,1,5-star,,Residential,,,Single Family,8.1,2009,,POINT (-97.783661223 30.469590118),,1,10/1/08,9/30/09,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.647053971 30.296696015),,1,10/1/13,9/30/14,Austin,TX,
Newmark Homes,,78727,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.68077596 30.427923007),,1,10/1/01,9/30/02,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2020,,POINT (-97.698881038 30.296239997),,1,10/1/19,9/30/20,Austin,TX,
Pulte Group,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.63352801 30.272809016),,1,10/1/13,9/30/14,Austin,TX,
D.R. Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2015,,POINT (-97.717485008 30.344121996),,1,10/1/14,9/30/15,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
David Weekley Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.853810963 30.19761601),,1,10/1/03,9/30/04,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.817209036 30.190040991),,1,10/1/04,9/30/05,Austin,TX,
Clark Wilson Homes,,78746,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1999,,POINT (-97.930737975 30.312493011),,1,10/1/98,9/30/99,Austin,TX,
Centex Homes,,78727,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.627737959 30.170018007),,1,10/1/04,9/30/05,Austin,TX,
D.R. Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2017,,POINT (-97.717237993 30.343608018),,1,10/1/16,9/30/17,Austin,TX,
Highland Homes Ltd.,,78653,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2019,,POINT (-97.579831024 30.335373008),,1,10/1/18,9/30/19,Manor,TX,
David Weekley Homes,,78730,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2005,,POINT (-97.848676964 30.389965014),,1,10/1/04,9/30/05,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716681016 30.154553019),,1,10/1/19,9/30/20,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2011,,POINT (-97.629761015 30.168244983),,1,10/1/10,9/30/11,Del Valle,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.730281995 30.224208981),,1,10/1/03,9/30/04,Austin,TX,
David Weekley Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.681451038 30.427286988),,1,10/1/01,9/30/02,Austin,TX,
KB Home,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2011,,POINT (-97.74697204 30.153163006),,1,10/1/10,9/30/11,Austin,TX,
MWM DesignGroup,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2019,,POINT (-97.725601037 30.242803982),,1,10/1/18,9/30/19,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.716681016 30.154553019),,1,10/1/20,9/30/21,Austin,TX,
Hammonds Homes,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.773417028 30.243132007),,1,10/1/01,9/30/02,Austin,TX,
Grand Haven Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2017,,POINT (-97.791220358 30.48707854),,1,10/1/16,9/30/17,Austin,TX,
David Weekley Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2006,,POINT (-97.897076593 30.366618896),,1,10/1/05,9/30/06,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2015,,POINT (-97.696105036 30.292687998),,1,10/1/14,9/30/15,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2021,,POINT (-97.694596042 30.201843004),,1,10/1/20,9/30/21,Austin,TX,
Antero Homes,,78723,0,1,0,0,0,2-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.668586996 30.259996983),,1,10/1/09,9/30/10,Austin,TX,
Blur Design Studio,,78741,0,0,0,0,1,5-star,,Residential,,,Single Family,2016,2019,,POINT (-97.700750035 30.234836019),,1,10/1/18,9/30/19,Austin,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2017,,POINT (-97.792894895 30.489939368),,1,10/1/16,9/30/17,Austin,TX,
Grand Haven Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2017,,POINT (-97.791511127 30.486471104),,1,10/1/16,9/30/17,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2011,,POINT (-97.700860006 30.290875998),,1,10/1/10,9/30/11,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.695318981 30.20406601),,1,10/1/19,9/30/20,Austin,TX,
Meritage Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.706408993 30.291878013),,1,10/1/07,9/30/08,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2015,,POINT (-97.70152402 30.300891996),,1,10/1/14,9/30/15,Austin,TX,
David Weekley Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.775591965 30.410244987),,1,10/1/01,9/30/02,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2 legacy data,2019,,POINT (-97.745863031 30.150843021),,1,10/1/18,9/30/19,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.770020011 30.140272016),,1,10/1/07,9/30/08,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.716681016 30.154553019),,1,10/1/21,9/30/22,Austin,TX,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2011,,POINT (-97.627639974 30.279725008),,1,10/1/10,9/30/11,Austin,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.760218968 30.152916997),,1,10/1/19,9/30/20,Austin,TX,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2011,,POINT (-97.627536961 30.279135006),,1,10/1/10,9/30/11,Austin,TX,
Wilshire Homes,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1997,,POINT (-97.831545024 30.256000995),,1,10/1/96,9/30/97,Austin,TX,
Centex Homes,,78741,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.690479019 30.224422007),,1,10/1/06,9/30/07,Austin,TX,
RisherMartin Fine Homes,,78703,0,0,0,0,1,5-star,,Residential,,,Single Family,2013,2016,,POINT (-97.781380004 30.30062499),,1,10/1/15,9/30/16,Austin,TX,
Studio Momentum Architects,,78756,0,0,0,0,0,5-star,,Residential,,,Single Family,2008.2,2011,,POINT (-97.745544015 30.320095983),,1,10/1/10,9/30/11,Austin,TX,
Lennar,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2011,,POINT (-97.768026962 30.141931004),,1,10/1/10,9/30/11,Austin,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.752264039 30.314743007),,1,10/1/20,9/30/21,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.809879984 30.127356006),,1,10/1/17,9/30/18,Austin,TX,
Austin Habitat for Humanity,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2013,,POINT (-97.682023019 30.31317601),,1,10/1/12,9/30/13,Austin,TX,
Main Street Homes,,78702,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.686738008 30.259219017),,1,10/1/05,9/30/06,Austin,TX,
Chenoweth Builders,,78702,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2003,,POINT (-97.731911017 30.261014002),,1,10/1/02,9/30/03,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2015,,POINT (-97.695373966 30.292253983),,1,10/1/14,9/30/15,Austin,TX,
Enve Builders,,78759,0,0,0,0,1,5-star,,Residential,,,Single Family,2016,2018,,POINT (-97.745974007 30.378531008),,1,10/1/17,9/30/18,Austin,TX,
Austin Habitat for Humanity,,78702,0,0,1,0,0,3-star,,Residential,,,Single Family,7.1,2004,,POINT (-97.720711035 30.262934002),,1,10/1/03,9/30/04,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2016,,POINT (-97.620941995 30.347665991),,1,10/1/15,9/30/16,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2009,,POINT (-97.623485 30.1722813),,1,10/1/08,9/30/09,Del Valle,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.76916799 30.138878985),,1,10/1/07,9/30/08,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.701859967 30.29680498),,1,10/1/11,9/30/12,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2010,,POINT (-97.700802003 30.293618012),,1,10/1/09,9/30/10,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2003,,POINT (-97.738565997 30.160866017),,1,10/1/02,9/30/03,Austin,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.729881004 30.224819016),,1,10/1/03,9/30/04,Austin,TX,
Cheldan Homes,,78617,0,0,1,0,0,3-star,,Residential,,,Single Family,7.2,2009,,POINT (-97.617840021 30.178973987),,1,10/1/08,9/30/09,Del Valle,TX,
Reytex Homes,,,,,,,,,,,,,,,,,,,,,,,,
Newmark Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.777563975 30.408992982),,1,10/1/00,9/30/01,Austin,TX,
Buffington Homes,,78653,0,1,0,0,0,2-star,,Residential,,,Single Family,2020,2021,,POINT (-97.550366035 30.292231981),,1,10/1/20,9/30/21,Manor,TX,
Main Street Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.827388019 30.153242005),,1,10/1/04,9/30/05,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.884066029 30.208535995),,1,10/1/00,9/30/01,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.649839026 30.365297995),,1,10/1/16,9/30/17,Austin,TX,
Clark Wilson Homes,,78735,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1998,,POINT (-97.837027962 30.254294984),,1,10/1/97,9/30/98,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2006,,POINT (-97.742831967 30.160502996),,1,10/1/05,9/30/06,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2010,2014,,POINT (-97.700632018 30.297106016),,1,10/1/13,9/30/14,Austin,TX,
Huffman Homes,,,,,,,,,,,,,,,,,,,,,,,,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.880611009 30.207766998),,1,10/1/98,9/30/99,Austin,TX,
Dream Finders Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.717558014 30.148376017),,1,10/1/20,9/30/21,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.693850974 30.199120981),,1,10/1/06,9/30/07,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.820683 30.191551996),,1,10/1/04,9/30/05,Austin,TX,
David Weekley Homes,,78758,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.717781979 30.147209005),,1,10/1/20,9/30/21,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.740156966 30.159119018),,1,10/1/04,9/30/05,Austin,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.731722006 30.223871986),,1,10/1/03,9/30/04,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.648086035 30.368321012),,1,10/1/16,9/30/17,Austin,TX,
Legacy DCS L.L.C.,,78669,0,0,1,0,0,3-star,,Residential,,,Single Family,2010.1,2015,,POINT (-97.992613017 30.408668979),,1,10/1/14,9/30/15,Austin,TX,
Dream Finders Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.716871033 30.142264017),,1,10/1/21,9/30/22,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.694072005 30.197055009),,1,10/1/06,9/30/07,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2015,,POINT (-97.702500009 30.198586006),,1,10/1/14,9/30/15,Austin,TX,
Newmark Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.774166035 30.411262005),,1,10/1/99,9/30/00,Austin,TX,
Clark Wilson Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2001,,POINT (-97.778754038 30.13862099),,1,10/1/00,9/30/01,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2017,,POINT (-97.649311972 30.364674004),,1,10/1/16,9/30/17,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.820959016 30.190872015),,1,10/1/04,9/30/05,Austin,TX,
Avi Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.715136985 30.158129996),,1,10/1/17,9/30/18,Austin,TX,
Newmark Homes,,78759,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2003,,POINT (-97.777516031 30.405153986),,1,10/1/02,9/30/03,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2014,,POINT (-97.74168901 30.14744001),,1,10/1/13,9/30/14,Austin,TX,
D.R. Horton,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.836630248 30.19243417),,1,10/1/11,9/30/12,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2017,,POINT (-97.69980003 30.294659003),,1,10/1/16,9/30/17,Austin,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
PSW Homes,,78745,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.772449002 30.193584985),,1,10/1/17,9/30/18,Austin,TX,
D.R. Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.720307027 30.343764005),,1,10/1/15,9/30/16,Austin,TX,
Thangmaker Construction,,78737,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1997,,POINT (-98.000219665 30.219593057),,1,10/1/96,9/30/97,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2020,,POINT (-97.553646042 30.298618991),,1,10/1/19,9/30/20,Manor,TX,
Dream Finders Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.714355959 30.159596996),,1,10/1/17,9/30/18,Austin,TX,
David Weekley Homes,,78736,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.90157901 30.240747021),,1,10/1/02,9/30/03,Austin,TX,
DR Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.651302003 30.356918983),,1,10/1/18,9/30/19,Austin,TX,
J.C. Cantera Homes,,,,,,,,,,,,,,,,,,,,,,,,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.79178379 30.490257628),,1,10/1/15,9/30/16,Austin,TX,
Westminster Meadows,,,,,,,,,,,,,,,,,,,,,,,,
Centex Homes,,78724,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2009,,POINT (-97.628274987 30.283166994),,1,10/1/08,9/30/09,Austin,TX,
NuHome Development Co.,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.813236014 30.183421006),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.614844999 30.34713001),,1,10/1/13,9/30/14,Austin,TX,
Avi Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2018,,POINT (-97.555040036 30.298250984),,1,10/1/17,9/30/18,Austin,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.795665617 30.488636736),,1,10/1/15,9/30/16,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2011,,POINT (-97.627622037 30.167688006),,1,10/1/10,9/30/11,Del Valle,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2018,,POINT (-97.557454024 30.29715199),,1,10/1/17,9/30/18,Manor,TX,
Stewardship,,,,,,,,,,,,,,,,,,,,,,,,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.641481011 30.356305009),,1,10/1/18,9/30/19,Austin,TX,
SDC Austin Commun.,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,II,1997,,POINT (-97.638236041 30.303228996),,1,10/1/96,9/30/97,Austin,TX,
David Weekley Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.689843 30.433182987),,1,10/1/03,9/30/04,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,2013,2019,,POINT (-97.698108981 30.199808003),,1,10/1/18,9/30/19,Austin,TX,
KB Home,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2009,,POINT (-97.617594012 30.168979992),,1,10/1/08,9/30/09,Del Valle,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.716681016 30.154553019),,1,10/1/21,9/30/22,Austin,TX,
D.R. Horton,,78754,0,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.650977037 30.367461993),,1,10/1/11,9/30/12,Austin,TX,
Wilshire Homes,,78759,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.774902972 30.421856982),,1,10/1/95,9/30/96,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.882282025 30.206517005),,1,10/1/99,9/30/00,Austin,TX,
KB Home,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2006,,POINT (-97.618133974 30.168141006),,1,10/1/05,9/30/06,Del Valle,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.752264039 30.314743007),,1,10/1/19,9/30/20,Austin,TX,
Meritage Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.705811028 30.291894986),,1,10/1/07,9/30/08,Austin,TX,
D.R. Horton,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.836630248 30.19243417),,1,10/1/11,9/30/12,Austin,TX,
Solluna Builders,,,,,,,,,,,,,,,,,,,,,,,,
Scott Felder Homes,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2010,,POINT (-97.647464013 30.374852987),,1,10/1/09,9/30/10,Austin,TX,
Legacy DCS,,78738,0,0,0,0,1,5-star,,Residential,,,Single Family,2016,2022,,POINT (-98.012262042 30.359550021),,1,10/1/21,9/30/22,Austin,TX,
Kipp Flores Architects,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.698939963 30.295914989),,1,10/1/17,9/30/18,Austin,TX,
Standard Pacific Homes,,78717,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2016,,POINT (-97.794990874 30.486952351),,1,10/1/15,9/30/16,Austin,TX,
D.R. Horton,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2013,,POINT (-97.652866988 30.367143019),,1,10/1/12,9/30/13,Austin,TX,
Mercedes Homes,,78745,0,1,0,0,0,2-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.813899022 30.22928502),,1,10/1/07,9/30/08,Austin,TX,
PSW Real Estate,,78759,0,0,0,0,1,5-star,,Residential,,,Single Family,2013,2015,,POINT (-97.754949014 30.368653019),,1,10/1/14,9/30/15,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.701192013 30.294473008),,1,10/1/09,9/30/10,Austin,TX,
Clark Wilson Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.889150995 30.381756993),,1,10/1/98,9/30/99,Austin,TX,
SDC Austin Commun.,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,II,1996,,POINT (-97.638590009 30.303850011),,1,10/1/95,9/30/96,Austin,TX,
Clark Wilson Homes,,78735,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.831106799 30.252884061),,1,10/1/95,9/30/96,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2009,,POINT (-97.702402024 30.293753003),,1,10/1/08,9/30/09,Austin,TX,
Blue Heron Builders,,,,,,,,,,,,,,,,,,,,,,,,
